JUDUL,ISBN,TAHUN TERBIT,HARGA,STOK
"FARM MANAGEMENT, EIGHTH EDITION",9780073400945,2016,148731,2
APLIKASI AUTO CAD UNTUK DESAIN RANCANG BANGUN 3D,9786020295398,2016,165859,3
PERENCANAAN PELABUHAN,9798541049,2016,54135,7
ADVANCED MACHINING PROCESSES,9786023861255,2016,52888,9
CLINICAL ANATOMY AND PHYSIOLOGY FOR VETERINARY TECHNICIANS THIRD EDITION,978323227933,2016,92768,8
HIDROPONIK TINGKATKAN OMZET 3 KALI LIPAT,01260057,2016,200809,8
TEORI LISTRIK DASAR OTOMOTIF UNTUK PERGURUAN TINGGI DAN SMK MAK KELAS X,9786026947390,2016,64303,9
A PRACTICAL GUIDANCE TO EXECUTIVE COMPENSATION MANAGEMENT,9786020293837,2016,214950,1
PERANCANGAN STRUKTUR BETON BERTULANG BERDASARKAN SNI 2847 : 2013,9786022986263,2016,163198,8
GEOTHERMAL HEAT PUMP AND HEAT ENGINE SYSTEMS,9781118961971,2016,82555,6
SUPER PROJECT MANAGER,9786020294810,2016,75104,2
SMALL ANIMAL CLINICAL TEHCNIQUES,9780323312165,2016,145892,10
COMPETITIVE MARKETING STRATEGY (STRATEGI PEMASARAN MENGHADAPI PESAING ASEAN+3 DI ERA MEA,9786020285054,2016,179160,1
SMALL ANIMAL EMERGENCY AND CRITICAL CARE FOR VETERINARY TECNICIANS,9780323227742,2016,183780,8
MEMPRODUKSI KOMPOS DAN MIKRO ORGANISME LOKAL (MOL),9786026805980,2016,71919,6
MEKANIKA TEKNIK STRUKTUR STATIS TERTENTU - JILID 1,9786029584295,2016,176493,3
BISNIS BERKAH DAN SUKSES BERMODAL KATALOG,9786020334394,2016,72395,8
INTRODUCTION TO HETEROGENEOUS CATALYSIS,9781786340801,2016,155531,10
SALES INSIGHT,9786020335933,2016,100649,6
DESIGN PRINCIPLES OF SHIPS AND MARINE STRUCTURES,9781482254464,2016,104566,1
ADVANCED MARINE STRUCTURES,9781498739689,2016,190599,8
SISTEM INFORMASI AKUNTANSI,9786023180462,2016,191976,8
"MARITIME SECURITY : PROTECTION OF MARINAS, PORTS, SMALL WATERCRAFT, YACHTS, AND SHIPS",9781498706605,2016,96662,5
MUDAH MENYUSUN KUALIFIKASI DAN PERFORMA KARYAWAN,9789790132276,2016,183745,4
KONSEP DASAR TEKNIK ELEKTRONIKA KELISTRIKAN,9786022890706,2016,203612,7
CUSTOMER CARE EXCELLENCE (MENINGKATKAN KINERJA PERUSAHAAN MELALUI PELAYANAN PRIMA PLUS ANALISIS KASUS JASA RAHARJA),9786020336947,2016,128201,3
ADMINISTRASI KEPEGAWAIAN NEGARA,9789790766068,2016,66549,3
DASAR-DASAR AKUNTANSI,9795265431,2016,83357,7
DRY DOCKING AND SHIPBOARD MAINTENANCE : A GUIDE FOR INDUSTRY,9781138909236,2016,170264,9
DASAR-DASAR STABILITAS KAPAL,9789790447202,2016,74138,4
PENGELOLAAN SUMBERDAYA DAN LINGKUNGAN,9794204684,2016,112443,6
TEKNIK KELISTRIKAN KAPAL AHLI TEKNIK TINGKAT III,9789790447509,2016,54386,8
ELECTRIC MOTORS AND CONTROL SYSTEMS,9780073373812,2016,166426,10
PEMASARAN ESENSI DAN APLIKASI,9789792960310,2016,97567,6
ILMU NUTRISI TERNAK UNGGAS,9789797962166,2016,80623,7
NATURAL BIOAKTIF : PEMURNIAN PROTEIN BIOAKTIF DAN APLIKASINYA PADA PETERNAKAN,9786023861217,2016,60906,10
"URBAN FARMING BERTANI KREATIF SAYUR,HIAS,DAN BUAH",9790027028,2016,151864,2
MANAJEMEN RISIKO,9786023860791,2016,194248,6
"TEKNIK MENGELAS ASET, BRAZING DAN LAS BUSUR LISTRIK",9797306569,2016,86766,10
PERKERASAN JALAN BETON SEMEN PORTLAND (RIGID PAVEMENT),9789798541340,2016,95049,5
DESIGN AND MANUFACTURE OF PLASTIC COMPONENTS FOR MULTIFUNCTIONALITY,9780323340618,2016,200117,5
AUDITING DAN ASURANS (PEMERIKSAAN AKUNTASI BERBASIS STANDAR AUDIT INTERNASIONAL),9786023753178,2016,137562,1
PASCAPANEN SUSU,9786023860982,2016,50843,9
"Flood Hazard Mapping, uncertainty and its value in the Decision making proses",9781138032866,2016,87184,7
"MENGENAL LISTRIK LEBIH BAIK DARI SEGALA SISI (WAJIB ANDA TAHU,AGAR BERMANFAAT OPTIMAL)",9786020295107,2016,101078,10
PENANGANAN LIMBAH INDUSTRI PETERNAKAN,9786023861224,2016,53190,4
STRATEGI MEMBELI PROPERTI TANPA UANG TANPA UTANG (STRATEGI B25),9786020325965,2016,52045,8
PEDOMAN LENGKAP HUMAN RESOURCE DEVELOPMENT & GENERAL AFFAIR,9786026380036,2016,164375,4
MANJEMEN PELAYANAN,9793721693,2016,233513,6
CARA MUDAH BUDIDAYA RUMPUT LAUT,6027819200,2016,78185,5
PANDUAN MENYUSUN KEY PERFORMANCE INDICATOR,9786026380500,2016,232299,7
MEMBUAT ROBOT ARDUINO BERSAMA PROFESOR BOLABOT MENGGUNAKAN INTERFACE PYTHON,9786026948007,2016,200659,10
JOURNAL INDUSTRIAL SERVICE,9772461D62D33,2016,158804,2
SUKSES PEMBIBITAN DAN PEMBESARAN KAMBING ETAWA,9786026348531,2016,58939,1
PENGANTAR AKUNTANSI,9786023760015,2016,209677,7
MANAJEMEN RISIKO PENGEMBANG PROPERTI PERUMAHAN,9786027391420,2016,209942,3
SISTEM OPERASIONAL MANAJEMEN DISTRIBUSI,9786023757466,2016,110260,7
"Software Process Improvement and Capability Determination ( 16th International Conference, Spice 2016 Dublin, Ireland, Juni9-10, 2016 Proceedings )",9783319389790,2016,191781,7
Safe Robot Navigation Among Moving and Steady Obstacles,9780128037300,2016,164995,5
PENILAIAN USAHA,9789795036081,2016,182442,7
DASAR PERANCANGAN MESIN DENGAN AUTODESK INVENTOR PROFE2SSIONAL 2015,9786024014544,2016,166133,4
FARM BIG BOOK BUDI DAYA & PASCAPANEN TANAMAN OBAT UNGGULAN,9789792953763,2016,209321,6
DESIGN THE BUSINESS PLAN FOR START-UP ENTERPRENEUR (MENDESAIN MODEL BISNIS YANG KOMPETITIF DAN MENYUSUN RENCANA STRATEGIS YANG SOLID,9786023757589,2016,91547,2
PARA BAJINGAN YANG MENYENANGKAN,9786021318447,2016,62079,9
GARIS WAKTU,9789797945251,2016,129587,4
BOWL OF HAPPINESS,9786020325651,2016,213959,6
DISTILASI ALKENA,9789797945749,2016,122740,4
MERAYAKAN KEHILANGAN,9789797945275,2016,102537,3
THE CALL OF THE WILD (PANGGILAN ALAM LIAR),9786020332918,2016,226245,2
DIBALIK GERBANG,9786024260026,2016,191106,8
FROM PINGGIR KALI TO GEDONGAN (KISAH NYATA PERJUANGAN MENUJU SUKSES),9786020293875,2016,82812,5
REVIVAL KONSPIRASI DUA SISI,9786022911797,2016,171456,6
ANTARA CINTA DAN RIDHA UMMI MANA YANG KAU PILIH?,9786029055306,2016,187850,10
FIRST LOVE GAGAL,9786020331799,2016,176424,4
ROMA,9786023756537,2016,98528,2
ADA APA DENGAN CINTA ?,9786020326450,2016,222323,10
SEBUTIR DEBU DI KAKI KABAH,9786022296188,2016,70305,2
FOBIA MIPA,9786026210135,2016,220216,2
SOME WHERE ACROSS THE OCEAN (KEHILANGAN DEMI KEHILANGAN YANG MELARUTKAN BAHAGIAKU),9786020806945,2016,136214,5
"YUK BER-HIJRAH (TOBAT TANPA MAKSIAT,TAAT SEPANJANG HAYAT)",9786024180683,2016,203585,4
CINTA FAREL (DAN MALAIKAT MENYINARI WAJAHMU DENGAN CAHAYA CINTAKU),9786023980079,2016,200630,9
MENCINTAIMU SEPERTI KUCINTAI QURAN (CINTA TERINDAH YANG PERNAH TERCIPTA DI KAKI SENJA),9786020806952,2016,91054,9
"ISABEL,THE JEWEL FROM CONSTANTINOPLE",9786020292120,2016,50938,7
HEY! YOU!,9786020336664,2016,204215,3
TIME MACHINE (MESIN WAKTU),9786027274376,2016,224740,2
AYAT-AYAT MOTIVASI PENGGUGAH HATI,9786021038314,2016,48252,3
CASUAL VENGEANCE (PERJALANAN MENEMUKAN KEBAHAGIAAN KEMBALI),9786027440845,2016,107823,1
CINTA DI DALAM GELAS,9786028811316,2016,55388,1
CATATAN PENDEK UNTUK CINTA YANG PANJANG,9797944875,2016,154353,8
HABIBIE YA NOUR EL AIN,9786022402989,2016,196850,6
PUISI-PUISI CINTA,9786022911142,2016,168399,1
"CINTA FAREL DAN MALAIKAT MENYINARI WAJAHMU DENGAN CAHAYA, CINTAKU",97860239890079,2016,62036,2
BEST OF THE BEST,9786020336237,2016,114514,1
SEBUAH USAHA MELUPAKAN,9789797945206,2016,54455,1
LOVE IN AUCKLAND,9786020328096,2016,225814,10
LOVE IN LONDON,9786020329673,2016,210752,7
WHEN I LOOK INTO YOUR EYES,9786020334684,2016,231439,10
SANG PENAKLUK KUTUKAN,9786020822181,2016,190512,8
LOVE IN SYDNEY,9786020328577,2016,51082,2
CUPCAKE LOVE STORY,9786020283012,2016,154172,7
QUANTUM WRITING,9786020851266,2016,201040,4
THE BUSINESS OF TOURISM TENTH EDITION,9781292063249,2016,232628,7
MANUSIA IDE,9789797099602,2016,120843,2
ISTRI DAN SUAMI YANG DI DAMBAKAN SURGA,9786023003211,2016,218706,6
FAMILY BACKPACKING SINGAPURA & MALAYSIA,9786020281414,2016,100424,7
31 TRAVELLING DESTINATION BUSAN KOREA,9786020808215,2016,226766,5
AUTOCAD 2015 2 DAN 3 DIMENSI,9786021514948,2015,94629,5
PROSES DESAIN ELEMEN MESIN MENGGUNAKAN SOLID WORKS,9789792954456,2015,176618,4
BUILDING WIRELESS SENSOR NETWORKS USING ARDUINO,9781784395582,2015,57312,6
KONSERVASI HIJAUAN PAKAN DAN PENINGKATAN KUALITAS BAHAN PAKAN BERSERAT TINGGI,9786023869121,2015,50206,1
PEMROGRAMAN ANDROID DALAM SEHARI,9786020274010,2015,84558,5
BELAJAR PEMOGRAMAN ANDROID BERBASIS WEB UNTUK SEMUA ORANG,9786020267678,2015,189957,3
"MANAJEMEN KEUANGAN PERUSAHAAN : TEORI & PRAKTIK,",9786022984399,2015,202756,5
ANALISIS STRUKTUR,9786022985044,2015,148458,10
CHIP INTERNET NGEBUT DI INDONESIA,14124963,2015,52592,2
GRAFIK DAN ANIMASI WEB DENGAN HTML 5,9786020256108,2015,193433,3
COMP TIA A+ CERTIFICATIONS,9781259588693,2015,157394,9
"PEMROGRAMAN JAVA WEB (JSP, JTSL & SERVLET) TENTANG PEMBUATAN SISTEM INFORMASI KLINIK DIIMPLEMENTASIKAN DENGAN NETBEANS IDE 7.2 DAN MYSQL",9786027869882,2015,105524,8
PEMROGRAMAN JAVA SCRIPT TEORI DAN IMPLEMENTAASI,9786021514689,2015,192943,2
PEMROGRAMAN DAN HACK ANDROID UNTUK PEMULA DAN ADVANCED,9786020275079,2015,169497,6
WEB SCALABILITY FOR STARTUP ENGINEERS (TIPS & TECHNIQUES FOR SCALING YOUR WEB APPLICATION),9780071843652,2015,88603,3
HANDBOOK JARINGAN KOMPUTER,9786021514580,2015,230206,8
KALI LINUX 300% ATTACK,9786020823027,2015,134779,7
"E-COMMERCE, E-BUSINESS DAN MOBILE COMMERCE",9786021514757,2015,158272,8
TRIK MUDAH MEMBUAT POS DENGAN EXCEL,9786020274553,2015,100949,2
METODE PENELITIAN MANAJEMEN DAN BISNIS KONVERGENSI TEKNOLOGI KOMUNIKASI DAN INFORMASI,9786027948549,2015,139550,3
STUDI KASUS MS OFFICE UNTUK PERHITUNGAN BISNIS MODERN,9786020264059,2015,204079,7
TIPS AND TRIK ANDROID ALL VERSION,9786020275420,2015,207496,3
JARINGAN KOMPUTER DENGAN TCP IP (MEMBAHAS KONSEP DAN TEKNIK IMPLEMENTASI TCP IP DALAM JARINGAN KOMPUTER),9786028759410,2015,230513,1
CARA MUDAH BELAJAR SPSS DAN LISREL TEORI DAN APLIKASI UNTUK ANALISIS DATA PENELITIAN,9786022891376,2015,144823,5
MANAJEMEN MODERN DENGAN SCRUM,9789792953572,2015,66365,5
"MANAJEMEN KOMUNIKASI (FILOSOFI,KONSEP,DAN APLIKASI",9789790765078,2015,147983,9
MEMBANGUN SMS GATEWAY DENGAN GAMMU & KALKUN,9786020263830,2015,66846,5
MENGATASI PERMASALAHAN PRAKTIS BETERNAK KAMBING,9790065485,2015,212956,9
HTML 5 DAN CSS 3 BELAJAR DARI KASUS,9786021514672,2015,76807,5
PEMROGRAMAN VISUAL BASIC .NET UNTUK APLIKASI OFFICE,9786020266589,2015,228083,6
MENGENAL PIRANTI RISET GRATIS DAN BERMUTU,9786029724882,2015,175246,1
KULIAH JURUSAN APA? FAKULTAS TEKNIK JURUSAN TEKNIK SIPIL,9786020324036,2015,163907,9
ESSENTIALS OF SYSTEMS ANALYSIS AND DESIGN,9781292076614,2015,226986,4
PENGANTAR MANAJEMEN,9786023160448,2015,153734,2
TEKNIK HEBAT MERANCANG APLIKASI INSTAN BERKUALITAS,9786020274096,2015,155630,8
MERANCANG APLIKASI REKAM MEDIS DENGAN VB.NET,9786020275796,2015,150345,3
LOVE MAKER,9786027775343,2015,161384,5
ASSESSMENT IN ONLINE AND BLENDED LEARNING ENVIRONMENTS,978681230467,2015,130796,7
MULTIRESOLUTION APPROACH TO PROCESSING IMAGE FOR DIFFERENT APLICATION,9783319144566,2015,49084,1
INTERIOR RESTORAN REALISTIK DENGAN SKETCH UP 2015,9786027680784,2015,202512,4
CARA MUDAH DAN GAUL BELAJAR GRAMMAR,9786022882503,2015,65860,6
GREAT PRESENTATION PANDUAN LENGKAP DAN PRAKTIS MEMBUAT DAN MENAMPILKAN PRESENTASI HEBAT,9786022557838,2015,230016,2
JURUS MAUT TAKLUKKAN WAWANCARA KERJA PASTIKAN ANDA DI TERIMA DI TEMPAT KERJA IDAMAN,9786029897128,2015,116422,3
96 TIP STUDI DIJERMAN,9786020255064,2015,105279,2
TABAH SAMPAI AKHIR,9797807991,2015,85306,5
"99% LOLOS TPA (TED POTENSI AKADEMIK) UNTUK MAHASISWA,CPNS,DAN KARYAWAN SWASTA)",9786022961482,2015,94988,8
1000 MINDSET BERPIKIR POSITIF,9786021129906,2015,85614,2
MAGNET REZEKI MENGUBAH JUTAAN JADI MILIARAN,9786020250199,2015,84012,9
BIG DRILING SOAL + PEMBAHASAN TPA (TES POTENSI AKADEMIK),6021674561,2015,171188,7
THE NETPRENEUR STORY,9786020320588,2015,209315,4
MENEKUK TANPA MEMBUAT PATAH,9786020322,2015,145479,1
SUKSES SEBELUM LULUS KULIAH,9786023750733,2015,129058,3
THE ART OF WAR VISUALIZED (STRATEGI KLASIK SUN TZU DI SAJIKAN DALAM DIAGRAM DAN GRAFIK),9786020315362,2015,68696,7
BUKU TUTORIAL GAME-GAME KECERDASAN,9786022559436,2015,169536,6
PRACTICAL STEPS TO THINK & GROW RICH,9786024832674,2015,163969,2
BOOK OF ABSTRACTS INTERNATIONAL CONFERENCE ON ANVANCED MATERIALS SCIENCE AND TECHNOLOGY ICAMST 2015,600,2015,121906,7
BUSINESS WISDOM INSPIRASI PEMBANGKIT SEMANGAT BISNIS,9786021526521,2015,228273,6
STUDI ILMU KALAM,9786020895307,2015,108395,6
HIDUP DILARANG MISKIN,9786027355200,2015,161424,9
ENSIKLOPEDIA MUKJIZAT AL-QURAN DAN HADIS (KEMUKJIZATAN ALAM SEMESTA) 9,9786028255097,2015,138542,9
ENSIKLOPEDIA MUKJIZAT AL-QURAN DAN HADIS (KEMUKJIZATAN ANGKA) 10,9786028255103,2015,234235,9
KONTROL KUALITAS PANGAN HASIL TERNAK,9794209171,2015,129698,6
ENSIKLOPEDIA MUKJIZAT AL-QURAN DAN HADIS (KEMUKJIZATAN PENCIPTAAN BUMI) 8,9786028255080,2015,146169,2
ENSIKLOPEDIA MUKJIZAT AL-QURAN DAN HADIS (KEMUKJIZATAN SASTRA DAN BAHASA AL-QURAN) 7,9786028255073,2015,116153,2
SURAT UNTUK CALON MERTUA,9786021568163,2015,90595,9
ENSIKLOPEDIA MUKJIZAT AL-QURAN DAN HADIS (KEMUKJIZATAN TUMBUHAN DAN BUAH-BUAHAN) 6,9786028255066,2015,116408,1
ENSIKLOPEDIA MUKJIZAT AL-QURAN DAN HADIS (KEMUKJIZATAN PENCIPTAAN HEWAN) 5,9786028255059,2015,234497,8
ENSIKLOPEDIA MUKJIZAT AL-QURAN DAN HADIS (KEMUKJIZATAN PSIKOTERAPI ISLAM) 4,9786028255042,2015,230075,7
ENSIKLOPEDIA MUKJIZAT AL-QURAN DAN HADIS (KEMUKJIZATAN PENGOBATAN DAN MAKANAN) 3,9786028255035,2015,103864,9
ENSIKLOPEDIA MUKJIZAT AL-QURAN DAN HADIS (KEMUKJIZATAN PENCIPTAAN MANUSIA) 2,9786028255028,2015,169747,6
ENSIKLOPEDIA MUKJIZAT AL-QURAN DAN HADIS (KEMUKJIZATAN FAKTA SEJARAH)1,9786028255011,2015,49244,5
BIOGRAFI SYAIKH BIN BAZ,9786027305908,2015,179745,8
NASIHAT DIRI (1000 KISAH HIKMAH DAN KATA MUTIARA PENYEJUK JIWA),9786023170883,2015,66424,1
NEGERI-NEGERI PENGHAFAL AL-QURAN,9789791093385,2015,73420,6
EKONOMI MIKRO ISLAMI,9789797697389,2015,128567,10
MENGENAL POLIMER DAN POLIMERISASI,9786023860043,2015,59886,9
BANGSA KE-13 SANG PENGUASA DUNIA,9786021337608,2015,131941,4
ROAD TO JANNAH,9786026359278,2015,169262,4
FILSAFAT PENDIDIKAN,9786021186527,2015,234416,9
SIKAP KERJA (DARI TEORI DAN IMPLEMENTASI SAMPAI BUKTI),9786022891215,2015,159681,5
PENGANTAR EKONOMI MIKRO & MAKRO,9789792970258,2015,92804,7
MANAJEMEN PUBLIK KONTEMPORER,9786027869417,2015,184456,10
SURAT PUTUSAN MAHKAMAH KONSTITUSI NOMOR 6 PUU-V 2007 TENTANG PERUBAHAN PASAL 154 DAN 156 DALAM KUHP,9786029129373,2015,227020,3
TANGGUNG JAWAB PIDANA DOKTER DALAM KESALAHAN MEDIS,9786021547809,2015,66288,1
BUKU PINTAR PEMIKIRAN TOKOH-TOKOH PSIKOLOGI DARI KLASIK SAMPAI MODERN,9786022559696,2015,135249,3
"STATISTIK PENELITIAN BIDANG PENDIDIKAN,PSIKOLOGI DAN SOSIAL",9786021547847,2015,201543,7
"KOMPETENSI KEWIRAUSAHAAN : TEORI, PENGUKURAN DAN APLIKASI",9786022625216,2015,159339,10
SOSIOLOGI PERDESAAN,9789790765507,2015,231305,1
EKONOMI REGIONAL TEORI DAN APLIKASI,9795267612,2015,207228,6
MANAJEMEN PERBANKAN,9789797694678,2015,181909,8
MARKETING OF AGRICULTURAL PRODUCTS,0130105848,2015,107818,9
ILMU EKONOMI,9786022624806,2015,145892,6
ENGLISH FOR INETRNATIONAL TOURIMS PREINTERMEDUATE STUDENTS BOOK,0582479886,2015,83359,6
PEARSON NEW INTERNATIONAL EDITION FOUNDAMENTALS OF PLANNING & DEVELOPING TOURIMS,9781292039480,2015,130042,8
DASAR-DASAR ILMU POLITIK,9789792234947,2015,169432,5
POKOK-POKOK PPN PAJAK PERTAMBAHAN NILAI INDONESIA,9789797698652,2015,105753,1
GELANDANGN DIKAMPUNG SENDIRI,9786022910787,2015,138312,1
EKONOMI INTERNASIONAL,97950309306,2015,160163,2
PANDUAN PRAKTIS KESELAMATAN DAN KESEHATAN KERJA UNTUK INDUSTRI,9786021674765,2015,174402,6
ANALISIS KEBIJAKAN PUBLIK,9786022623939,2015,203939,3
WHO WANTS TO BE A SMILING INVESTOR,9786026208965,2015,68489,1
METODE PENELITIAN ADMINISTRASI PUBLIK TEORI DAN APLIKASI,9786027869820,2015,229672,8
CINDUA MATO,9786028556460,2015,148837,10
MUDAH MEMAHAMI DAN MENGANALISIS INDIKATOR EKONOMI,9789793532653,2015,119508,9
ETIKA ADMINISTRASI NEGARA,9789797695187,2015,59861,2
"BAHASA INDONESIA BAHASA KITA, AKAN DIGANTI DENGAN BAHASA INGGRIS ?",9789794193686,2015,159281,5
SEHARI MAHIR BERBAHASA JERMAN,9789793931494,2015,127521,10
ENGLISH FOR TOUR GUIDE PERCAKAPAN BAHASA INGGRIS UNTUK MENGANTAR TURIS,9786022295051,2015,128671,3
ENGLISH JOKES (CARA MENYENANGKAN BELAJAR BAHASA INGGRIS),9789793931744,2015,225317,6
SPECIAL CONVERSATION FOR HOTEL AND RESTAURANT,9797985377,2015,120519,7
JAGO KUASAI BAHASA JEPANG,9786021674536,2015,154954,3
APLIKASI STATISTIK UNTUK PENELITIAN DI LENGKAPI DENGAN EXCEL DAN SPSS,9786021547830,2015,226965,5
METODOLOGI PENELITIAN KUANTITATIF,9786021374237,2015,168579,9
R AND MATLAB,9781466563389,2015,194785,7
MARINE STRUCTURAL DESIGN CALCULATIONS,9780080999876,2015,232193,5
STATISTIK PENELITIAN APLIKASINYA DENGAN SPSS,9786022625339,2015,121622,8
"PRINCIPLES OF GENERAL,ORGANIC & BIOLOGICAL CHEMISTRY",9781259252273,2015,101325,4
"SEEDS ECOLOGY,BIOGEOGRAPHY & EVOLUTION",978012416676,2015,118332,7
PENUNTUN PRAKTIKUM MIKROBIOLOGI,9789797962296,2015,213313,3
MATEMATIKA EKONOMI DILENGKAPI CONTOH-CONTOH SOAL DAN LATIHAN SOAL,9786023751549,2015,67022,7
RAHASIA DNA,9786020637822,2015,155900,5
STATISTIK DESKRIPTIF,9795030825,2015,72229,9
MANAJEMEN KONTRAK KONSTRUKSI (PEDOMAN PRAKTIS DALAM MENGELOLA PROYEK KONSTRUKSI),9786020317038,2015,119507,4
LANGSUNG PRAKTIK KOMPUTERISASI AKUNTANSI DENGAN MYOB,9789792951721,2015,98829,3
MANAJEMEN SUMBER DAYA MANUSIA,9789792955361,2015,59916,8
PRAKTIKUM KIMIA DAN ANALISIS PANGAN,9789790115620,2015,148675,1
DESAIN RANCANG BANGUN 3D DAN FINISHING DENGAN AUTOCAD,9786020258522,2015,134439,9
TUTORIAL AUTOCAD DAN INVENTOR (BELAJAR LANGSUNG PRAKTEK),9786021514733,2015,88793,1
SISTEM PERTANIAN ORGANIK BERKELANJUTAN,9786026912015,2015,84704,2
BERKEBUN DURIAN UNGGUL,9789790026872,2015,133143,9
STATISTIK NONPARAMERTRIS UNTUK PENELITI,9786022891796,2015,220427,1
HIDROPONIK PORTABEL,9789790026780,2015,126729,1
ANALISIS DATA PENELITIAN EKONOMI & MANAJEMEN,9786022513797,2015,175187,9
PENANGANAN SEGAR HORTIKULTURA UNTUK PENYIMPANAN DAN PEMASARAN,9786021186909,2015,80928,2
SISTEM BAN DAN RODA,9786021674796,2015,60968,3
OPERASIONAL KANTOR DEPAN HOTEL 1,9786021580073,2015,169757,1
PRACTICIAL FIELD ROBOTICS A SYSTEMS APPROACH,9781118941140,2015,133309,7
TEKNOLOGI PENGOLAHAN DAN PENGAWETAN PANGAN,9786028361453,2015,234328,3
PERENCANAAN SISTEM TRANSPORTASI PUBLIK,9786022624899,2015,189128,7
PANDUAN PRAKTIS PEMBESARAN AYAM PEDAGING,9789790026865,2015,119201,3
PENGENDALIAN KUALITAS,9786022624776,2015,192294,2
BETERNAK ITIK TANPA BAU TANPA ANGON,9786027849396,2015,124778,4
MATERIALS SCIENCE AND ENGINEERING,9781118319222,2015,210712,6
PRINCIPLES OF ENGINEERING THERMODYNAMICS,9781118960882,2015,106633,10
"STOP! GEJALA PENYAKIT JANTUNG KORONER,KOLESTROL TINGGI,DIABETES MELITUS,HIPERTENSI",9786021430736,2015,193387,1
34 BISNIS PETERNAKAN HASILKAN JUTAAN RUPIAH,979002665X,2015,146973,1
PENGOLAHAN DATA SISTEM LIDAR (LIGHT DETECTION AND RANGING)DI BIDANG TEKNIK GEODESI DAN GEOMATIKA),9786021514856,2015,181012,5
BETERNAK AYAM KAMPUNG SUPER AYAM JAWA SUPER TANPA BAU,9786027849419,2015,202918,6
PEMELIHARAAN JALAN RAYA,9786023860081,2015,110003,1
BETERNAK PUYUH DI PEKARANGAN TANPA BAU,9786027849402,2015,197766,10
ILMU DAN TEKNOLOGI DAGING,9786023860203,2015,208100,2
PANDUAN BUDIDAYA KAMBING ETAWA,6027819316,2015,50157,4
BELAJAR MUDAH MERANGKAI RANGKAIAN ELEKTRONIKA,9786021745762,2015,131898,5
PROPERTI TANPA MODAL 60 HARI UNTUNG 1 MILIAR,9786020311326,2015,114528,2
MANAJEMEN PERAWATAN KAPAL,9789790446854,2015,66842,1
MANAJEMEN AGROBISNIS KELAPA SAWIT,9794205230,2015,123949,9
MESIN DIESEL PENGGERAK UTAMA KAPAL,9789790446212,2015,211925,6
RESTORAN DAN SEGALA PERMASALAHANNYA,9797315908,2015,163273,4
OPERATIONS MANAGEMENT SUSTAINABILITY AND SUPPLY CHAIN MANAGEMENT,9780134130422,2015,202061,10
TEORI & PRAKTIK MANAJEMEN KEUANGAN,9789792903843,2015,198396,2
THE KEY TO FINANCIAL FREEDOM,9786020317939,2015,70190,1
EVENTS SPONSORSHIP,9780471126010,2015,95853,6
AKUNTASI MANAJEMEN SEBUAH PENGANTAR,9789793532943,2015,157094,1
STRATEGI PINTAR MENYUSUN SOP,6021674510,2015,222679,1
PENGANTAR AKUNTANSI (COMPREHENSIVE EDITION LENGKAP DENGAN KUMPULAN SOAL DAN SOLUSINYA),9786023750597,2015,228133,7
HOTEL MANAGEMENT,9786022516415,2015,163397,3
METODE NUMERIK BERBASIS PYTHON,9786027869912,2015,211920,6
AKUNTANSI INFORMASI DALAM PENGAMBILAN KEPUTUSAN,9786023752423,2015,153126,9
DO NOTHING (MENJADI PEMIMPIN EFEKTIF TANPA HARUS MENGATUR SECARA BERLEBIHAN),9786020400280,2015,89010,3
THE SCIENCE OF AGRICULTURE A BIOLOGICAL APPROACH,9781439057674,2015,213390,10
SPARSE IMAGE AND SIGNAL PROCESSING,9781107088061,2015,168965,3
PERILAKU KONSUMEN TEORI DAN PRAKTIK,9789790765337,2015,46990,8
AGRICULTURAL STANDARDS THE SHAPE OF THE GLOBAL FOOD AND FIBER SYSTEM,9781402039836,2015,83857,8
SELLING DESTINATIONS GEOGRAPHY FOR THE TRAVEL PROFESSIONAL,9781435485815,2015,220887,9
HOTEL HOUSEKEEPING A TRAINING MANUAL,9780070655713,2015,119256,4
UNDERSTANDING FOOD PRINCIPLES AND PREPARATION,9781133607151,2015,80265,10
AKUNTANSI BIAYA TEORI DAN PENERAPANYA,6021674294,2015,90592,7
SISTEM KELISTRIKAN PADA MOBIL,9786021674352,2015,47948,2
ANALSIS STRUKTUR METODE MATRIX,9798541154,2015,203652,3
SERI BUDUDAYA TERNAK SAPI POTONG,9786027542679,2015,65669,9
DASAR-DASAR MANAJEMEN KEUANGAN INTERNASIONAL,9797630129,2015,117557,5
KEDELAI (KHASIAT DAN TEKNOLOGI),9790100078,2015,88192,8
ENJOI ENIGMA JOURNAL OF INFORMATION,250222378,2015,48119,8
TEORI MEKANIKA & KEKUATAN BAHAN DALAM PERSPEKTIF INSINYUR,9786022294689,2015,110329,9
EMITTER INTERNATIONAL JOURNAL OF ENGINEERING TECHNOLOGY,2355391X,2015,204962,9
SENI BUDIDAYA TERNAK DOMBA ONCOR,9786027542600,2015,156650,6
INDONESIA JOURNAL OF BUSINESS & ENTREPRENEURSHIP,24075434,2015,196613,9
HIDROPONIK BUDIDAYA TANAMAN TANPA TANAH,9786027849426,2015,203471,2
REABILITY CENTRED MAINTENANCE,9786023180875,2015,55958,8
TERMODINAMIKA DASAR MESIN KONVERSI ENERGI,9789792923896,2015,48828,5
UTILITAS BANGUNAN MODUL PLUMBING,9789796612598,2015,89931,10
